opening_date(kor),closing_date(kor),opening_price(dollor),closing_price(dollor),high_price(dollor),low_price(dollor),trade_price(dollor),trade_volume
2017-07-02 8:00,2017-07-02 9:00,2324,2342.6,2357.958,2319,2342.6,77.82775079
2017-07-02 9:00,2017-07-02 10:00,2342.6,2320,2342.6,2303.501,2325.37,54.49096383
2017-07-02 10:00,2017-07-02 11:00,2320,2335,2396,2291.089,2337.999998,151.8665957
2017-07-02 11:00,2017-07-02 12:00,2335,2310.33,2399,2284,2321.327,132.2246652
2017-07-02 12:00,2017-07-02 13:00,2310.33,2309.351,2390,2309.001,2322.34,106.0541602
2017-07-02 13:00,2017-07-02 14:00,2309.351,2309.35,2322.339999,2290,2309.35049,54.61107627
2017-07-02 14:00,2017-07-02 15:00,2309.35,2357,2360,2295,2357.684,87.94289865
2017-07-02 15:00,2017-07-02 16:00,2357,2324.97,2369,2306,2336,70.75736238
2017-07-02 16:00,2017-07-02 17:00,2324.97,2358.5,2360.424,2319.89,2350,49.62310684
2017-07-02 17:00,2017-07-02 18:00,2358.5,2389,2399,2350.76,2390,57.5501239
2017-07-02 18:00,2017-07-02 19:00,2389,2367,2395,2367,2367,21.47477549
2017-07-02 19:00,2017-07-02 20:00,2367,2366,2383,2350,2379.915,71.15858875
2017-07-02 20:00,2017-07-02 21:00,2366,2374,2383.813,2348,2374,29.72361566
2017-07-02 21:00,2017-07-02 22:00,2374,2364.996,2393,2348,2373.85,56.65583086
2017-07-02 22:00,2017-07-02 23:00,2364.996,2338.05,2364.997,2330.775179,2343,89.49453754
2017-07-02 23:00,2017-07-03 0:00,2338.05,2360.992,2364,2330.775179,2363.992,67.3598465
2017-07-03 0:00,2017-07-03 1:00,2360.992,2383.992,2383.992,2351.64,2383.992,60.37527669
2017-07-03 1:00,2017-07-03 2:00,2383.992,2392,2398.9,2380.95,2393.1,69.78232675
2017-07-03 2:00,2017-07-03 3:00,2392,2419.9,2425,2385.2,2410.004,140.0825361
2017-07-03 3:00,2017-07-03 4:00,2419.9,2419,2430,2403.8,2419,108.1026326
2017-07-03 4:00,2017-07-03 5:00,2419,2410,2425,2401.1,2410,55.18033467
2017-07-03 5:00,2017-07-03 6:00,2410,2430.102297,2430,2410,2430,50.35990513
2017-07-03 6:00,2017-07-03 7:00,2430.102297,2450.9,2450.9,2430.102297,2450.9,89.17349827
2017-07-03 7:00,2017-07-03 8:00,2450.9,2427.961,2468.605,2419.16,2443,100.207184
2017-07-03 8:00,2017-07-03 9:00,2427.961,2438,2474.35,2422,2438,64.34555707
2017-07-03 9:00,2017-07-03 10:00,2438,2416.09,2445,2416.08,2416.08,62.87586122
2017-07-03 10:00,2017-07-03 11:00,2416.09,2436,2443.277,2415,2436,24.44654634
2017-07-03 11:00,2017-07-03 12:00,2436,2427.99,2443,2428.15,2428.15,21.9923507
2017-07-03 12:00,2017-07-03 13:00,2427.99,2420,2428.15,2403.8,2420,23.84550236
2017-07-03 13:00,2017-07-03 14:00,2420,2455,2475.9,2413.1,2455,57.00808786
2017-07-03 14:00,2017-07-03 15:00,2455,2448.99,2465.12,2431.907,2449,24.78921005
2017-07-03 15:00,2017-07-03 16:00,2448.99,2449,2460.88,2435.014,2450,21.29377911
2017-07-03 16:00,2017-07-03 17:00,2449,2423,2457,2423,2423,41.78439428
2017-07-03 17:00,2017-07-03 18:00,2423,2421.655,2436,2412,2418.22,25.53800147
2017-07-03 18:00,2017-07-03 19:00,2421.655,2435,2432,2418.222,2420.801,17.95524754
2017-07-03 19:00,2017-07-03 20:00,2435,2448.885,2450.147,2420.801,2449.95,31.06244931
2017-07-03 20:00,2017-07-03 21:00,2448.885,2469,2469,2422.53,2469,36.22623689
2017-07-03 21:00,2017-07-03 22:00,2469,2501.24,2502.591,2458.011,2501.24,105.5405224
2017-07-03 22:00,2017-07-03 23:00,2501.24,2555,2581,2490,2555,195.5720532
2017-07-03 23:00,2017-07-04 0:00,2555,2540,2600,2522.6,2531.23,209.343391
2017-07-04 0:00,2017-07-04 1:00,2540,2569,2571,2530.071,2570.86,77.40226731
2017-07-04 1:00,2017-07-04 2:00,2569,2551.482,2570.86,2525.001,2544.24,60.62368088
2017-07-04 2:00,2017-07-04 3:00,2551.482,2533.275,2551.482,2535,2541.99,62.61402933
2017-07-04 3:00,2017-07-04 4:00,2533.275,2515,2541,2512,2512.04,57.25344695
2017-07-04 4:00,2017-07-04 5:00,2515,2539.06,2549.297,2512.041,2539.06,72.01327271
2017-07-04 5:00,2017-07-04 6:00,2539.06,2537,2566.99,2527.12,2537,45.451241
2017-07-04 6:00,2017-07-04 7:00,2537,2553.03,2559.724,2537,2552.94,49.71181934
2017-07-04 7:00,2017-07-04 8:00,2553.03,2559.85,2581,2546,2553.06,28.64008295
2017-07-04 8:00,2017-07-04 9:00,2559.85,2533.094313,2569,2533.064313,2549.8,39.90483909
2017-07-04 9:00,2017-07-04 10:00,2533.094313,2555.82,2570.931,2533.064313,2550.0411,32.06442522
2017-07-04 10:00,2017-07-04 11:00,2555.82,2574.45,2574.021,2550.0311,2574.021,32.81698423
2017-07-04 11:00,2017-07-04 12:00,2574.45,2599,2620.38,2574,2599,102.8448239
2017-07-04 12:00,2017-07-04 13:00,2599,2608,2618,2589,2600,109.4482226
2017-07-04 13:00,2017-07-04 14:00,2608,2607,2608,2590,2607,61.28923393
2017-07-04 14:00,2017-07-04 15:00,2607,2617.26,2624,2604,2617.26,34.58502935
2017-07-04 15:00,2017-07-04 16:00,2617.26,2622.46,2625,2605.001,2623.94,39.0298458
2017-07-04 16:00,2017-07-04 17:00,2622.46,2613.061,2629.99,2611.1,2613.031,56.87380762
2017-07-04 17:00,2017-07-04 18:00,2613.061,2594,2621.94,2590,2594.03,61.86928113
2017-07-04 18:00,2017-07-04 19:00,2594,2600.94,2621.94,2589.9,2601.051,80.15656541
2017-07-04 19:00,2017-07-04 20:00,2600.94,2595,2600.94,2585,2588.2,36.2371069
2017-07-04 20:00,2017-07-04 21:00,2595,2596.002,2613.58,2590,2596.001,40.216866
2017-07-04 21:00,2017-07-04 22:00,2596.002,2612.03,2630,2596.002,2612,79.32928703
2017-07-04 22:00,2017-07-04 23:00,2612.03,2603.2,2620.47,2600.97,2603.2,33.68340133
